pair,window,cosine,wasserstein_only,kl_only,wkcs
1,2017-01-01 → 2017-01-16,0.0953921976571348,0.25723946310850865,0.6890671784381646,0.42997054924037104
2,2017-01-16 → 2017-01-31,0.0212580565692998,0.2552599560870269,0.9796747244097166,0.5450258634161028
3,2017-01-31 → 2017-02-15,0.007341867813321357,0.25422677689231754,0.032699576836919875,0.16561589687015849
4,2017-02-15 → 2017-03-02,0.30920913429615005,0.26462200046409473,0.719658521304312,0.44663660880018163
5,2017-03-02 → 2017-03-17,0.028105617792368975,0.2308221507011893,1.543395017153981,0.755851297282306
6,2017-03-17 → 2017-04-01,0.19901377351452998,0.23012865397394835,0.8487006952694808,0.47755747049216135
7,2017-04-01 → 2017-04-16,0.005811554037500999,0.23043485158198418,0.5799431455692562,0.370238169176893
8,2017-04-16 → 2017-05-01,0.2516550705061976,0.2907308249700954,3.311970680340535,1.4992267671182713
9,2017-05-01 → 2017-05-16,0.43178656400649396,0.2837770813376837,6.758007630899029,2.8734693011622223
10,2017-05-16 → 2017-05-31,0.009929833857013626,0.21449576271992266,1.4690474773230882,0.7163164485611889
11,2017-05-31 → 2017-06-15,0.03137642156711784,0.237267592670659,0.37870843979367447,0.2938439315198652
12,2017-06-15 → 2017-06-30,0.1365135182622611,0.34825233417870133,2.3078881006976983,1.1321066407863
13,2017-06-30 → 2017-07-15,0.12150505226230668,0.3155810676933202,1.3768146081008281,0.7400744838563234
14,2017-07-15 → 2017-07-30,0.033315094347396546,0.2693751660634092,0.10080503386939398,0.2019471131858031
15,2017-07-30 → 2017-08-14,0.0004603459894919615,0.23209476344270286,0.0035700419466797775,0.14068487484429362
16,2017-08-14 → 2017-08-29,0.12402400632446153,0.32592047565840243,0.7910358668506466,0.5119666321353001
17,2017-08-29 → 2017-09-13,0.10236386559976152,0.3439812870771228,1.1045974762536521,0.6482277627477345
18,2017-09-13 → 2017-09-28,8.854060640739458e-05,0.22263877806515597,0.14730858508455133,0.1925067008729141
19,2017-09-28 → 2017-10-13,0.1252377665409884,0.33401623930646185,1.757252043010987,0.903310560788272
20,2017-10-13 → 2017-10-28,0.09777943809089518,0.3548990946510201,2.1090405331877258,1.0565556700657024
21,2017-10-28 → 2017-11-12,0.185363565401513,0.31624296679946207,1.6244785021243189,0.8395371809294049
22,2017-11-12 → 2017-11-27,0.002090161007229363,0.24614799401615112,0.04155227916353238,0.16430970807510362
23,2017-11-27 → 2017-12-12,0.03759718202649742,0.2582326860771688,0.06067394807257719,0.17920919087533216
24,2017-12-12 → 2017-12-27,0.11729222009458673,0.3491336965808215,4.154394122265437,1.8712378668546676
25,2017-12-27 → 2018-01-11,0.1533060689406226,0.35103406566663026,2.3280360722602724,1.141834868304087
26,2018-01-11 → 2018-01-26,0.00024700025193913344,0.22871373995143143,1.512185155179149,0.7421023060425185
27,2018-01-26 → 2018-02-10,0.08981110698849115,0.27209692286389686,0.21130111360513507,0.24777859916039213
28,2018-02-10 → 2018-02-25,0.06418573543661676,0.2738349337738303,1.4545757994715327,0.7461312800529113
29,2018-02-25 → 2018-03-12,0.0003637820616042564,0.23500882361534023,0.057739073995281096,0.16410092376731655
30,2018-03-12 → 2018-03-27,0.01862887720437545,0.2406699887954913,0.09462340977584752,0.1822513571876338
31,2018-03-27 → 2018-04-11,0.00016314347853141342,0.20769536720704151,0.6133347125405082,0.3699511053404282
32,2018-04-11 → 2018-04-26,0.11204190110462664,0.3109513410664789,1.0078129159358835,0.5896959710142408
33,2018-04-26 → 2018-05-11,0.09740096025231804,0.31740098962640284,0.9035417237666182,0.551857283282489
34,2018-05-11 → 2018-05-26,0.00020583080059666248,0.2364345803058507,0.0024331045886489145,0.14283399001897
35,2018-05-26 → 2018-06-10,0.051561797624095074,0.2564594127151646,0.13496863730903896,0.20786310255271434
36,2018-06-10 → 2018-06-25,0.0001125022134050857,0.2301896818667626,0.001338925479327349,0.1386493793117885
