pair,window_start,window_end,next_window_start,wasserstein,kl_divergence,wkcs
1,2017-01-01 10:00:47,2017-01-31 10:00:47,2017-01-16 10:00:47,0.3276293302808162,4.138311901777356,1.851902358879432
2,2017-01-16 10:00:47,2017-02-15 10:00:47,2017-01-31 10:00:47,0.2740678558319101,2.1070188358387525,1.0072482478346472
3,2017-01-31 10:00:47,2017-03-02 10:00:47,2017-02-15 10:00:47,0.26312673077215093,2.1784155689789158,1.0292422660548568
4,2017-02-15 10:00:47,2017-03-17 10:00:47,2017-04-01 10:00:47,0.34168639322401995,4.942424068117751,2.1819814631815126
5,2017-04-01 10:00:47,2017-05-01 10:00:47,2017-04-16 10:00:47,0.31452359083212045,0.3490215652031032,0.32832278058051356
6,2017-04-16 10:00:47,2017-05-16 10:00:47,2017-05-16 10:00:47,0.350063229332582,10.05860285562462,4.233479079849397
7,2017-05-16 10:00:47,2017-06-15 10:00:47,2017-05-31 10:00:47,0.3007725533018486,3.9106798516258054,1.7447354726314315
8,2017-05-31 10:00:47,2017-06-30 10:00:47,2017-06-15 10:00:47,0.3712214991055277,3.071895306878905,1.4514910222148787
9,2017-06-15 10:00:47,2017-07-15 10:00:47,2017-07-15 10:00:47,0.40772887048048856,10.905036360654226,4.606651866549983
10,2017-07-15 10:00:47,2017-08-14 10:00:47,2017-07-30 10:00:47,0.3527077652012127,3.834922993680573,1.745593856592957
11,2017-07-30 10:00:47,2017-08-29 10:00:47,2017-08-14 10:00:47,0.3527667561541669,8.361252507518147,3.556161056699759
12,2017-08-14 10:00:47,2017-09-13 10:00:47,2017-09-13 10:00:47,0.3716823577606574,9.740813735412246,4.119334908821293
13,2017-09-13 10:00:47,2017-10-13 10:00:47,2017-09-28 10:00:47,0.276011769012511,0.18773408492525667,0.2407006953776093
14,2017-09-28 10:00:47,2017-10-28 10:00:47,2017-10-28 10:00:47,0.35384877147109284,12.617738445946507,5.259404641261259
15,2017-10-28 10:00:47,2017-11-27 10:00:47,2017-11-12 10:00:47,0.3152355631785779,8.8058344221345,3.7114751067609473
16,2017-11-12 10:00:47,2017-12-12 10:00:47,2017-11-27 10:00:47,0.2683053827808857,2.3715215474621245,1.1095918486533813
17,2017-11-27 10:00:47,2017-12-27 10:00:47,2017-12-12 10:00:47,0.3706231883440231,6.427508196091424,2.7933771914429837
18,2017-12-12 10:00:47,2018-01-11 10:00:47,2018-01-11 10:00:47,0.3272128713877329,3.4449582245241555,1.5743110126423019
19,2018-01-11 10:00:47,2018-02-10 10:00:47,2018-01-26 10:00:47,0.2622029873121027,2.1545695080145237,1.0191495955930712
20,2018-01-26 10:00:47,2018-02-25 10:00:47,2018-02-25 10:00:47,0.2919125647805133,0.9763197198396508,0.5656754268041684
21,2018-02-25 10:00:47,2018-03-27 10:00:47,2018-03-12 10:00:47,0.25205585169971656,1.4028052703983223,0.7123556191791589
22,2018-03-12 10:00:47,2018-04-11 10:00:47,2018-03-27 10:00:47,0.3070097166226374,0.6500581759100016,0.44422910033758306
23,2018-03-27 10:00:47,2018-04-26 10:00:47,2018-04-11 10:00:47,0.2765437299242556,0.004713446676536012,0.16781161662516775
24,2018-04-11 10:00:47,2018-05-11 10:00:47,2018-05-11 10:00:47,0.26864355408740576,2.113375132413441,1.0065361854178199
25,2018-05-11 10:00:47,2018-06-10 10:00:47,2018-05-26 10:00:47,0.2298394979673589,5.159940507471887,2.2018799017691704
