pair,window_start,window_end,next_window_start,wasserstein,kl_divergence,wkcs,baseline_mean,baseline_std,adaptive_threshold,alert,z_score
1,2017-01-01 10:00:47,2017-01-31 10:00:47,2017-01-16 10:00:47,0.3276293302808162,4.138311901777356,1.851902358879432,1.8519,0.0,1.8519,False,2.359
2,2017-01-16 10:00:47,2017-02-15 10:00:47,2017-01-31 10:00:47,0.2740678558319101,2.1070188358387525,1.0072482478346472,1.8519,0.0,1.8519,False,-844651.752
3,2017-01-31 10:00:47,2017-03-02 10:00:47,2017-02-15 10:00:47,0.2631267307721509,2.178415568978916,1.0292422660548568,1.4296,0.4223,2.2742,False,-0.948
4,2017-02-15 10:00:47,2017-03-17 10:00:47,2017-04-01 10:00:47,0.3416863932240199,4.942424068117751,2.1819814631815126,1.2961,0.3931,2.0823,True,2.254
5,2017-04-01 10:00:47,2017-05-01 10:00:47,2017-04-16 10:00:47,0.3145235908321204,0.3490215652031032,0.3283227805805135,1.5176,0.5129,2.5433,False,-2.319
6,2017-04-16 10:00:47,2017-05-16 10:00:47,2017-05-16 10:00:47,0.350063229332582,10.05860285562462,4.233479079849397,1.2797,0.6608,2.6014,True,4.47
7,2017-05-16 10:00:47,2017-06-15 10:00:47,2017-05-31 10:00:47,0.3007725533018486,3.9106798516258054,1.7447354726314317,1.7561,1.3745,4.5051,False,-0.008
8,2017-05-31 10:00:47,2017-06-30 10:00:47,2017-06-15 10:00:47,0.3712214991055277,3.071895306878905,1.4514910222148787,1.9036,1.3249,4.5534,False,-0.341
9,2017-06-15 10:00:47,2017-07-15 10:00:47,2017-07-15 10:00:47,0.4077288704804885,10.905036360654226,4.606651866549983,1.988,1.2792,4.5463,True,2.047
10,2017-07-15 10:00:47,2017-08-14 10:00:47,2017-07-30 10:00:47,0.3527077652012127,3.834922993680573,1.745593856592957,2.4729,1.6628,5.7986,False,-0.437
11,2017-07-30 10:00:47,2017-08-29 10:00:47,2017-08-14 10:00:47,0.3527667561541669,8.361252507518147,3.556161056699759,2.7564,1.3677,5.4918,False,0.585
12,2017-08-14 10:00:47,2017-09-13 10:00:47,2017-09-13 10:00:47,0.3716823577606574,9.740813735412246,4.119334908821293,2.6209,1.2425,5.106,False,1.206
13,2017-09-13 10:00:47,2017-10-13 10:00:47,2017-09-28 10:00:47,0.276011769012511,0.1877340849252566,0.2407006953776093,3.0958,1.2704,5.6366,False,-2.247
14,2017-09-28 10:00:47,2017-10-28 10:00:47,2017-10-28 10:00:47,0.3538487714710928,12.617738445946507,5.259404641261259,2.8537,1.6263,6.1062,False,1.479
15,2017-10-28 10:00:47,2017-11-27 10:00:47,2017-11-12 10:00:47,0.3152355631785779,8.8058344221345,3.7114751067609473,2.9842,1.7806,6.5455,False,0.408
16,2017-11-12 10:00:47,2017-12-12 10:00:47,2017-11-27 10:00:47,0.2683053827808857,2.3715215474621245,1.1095918486533811,3.3774,1.6778,6.733,False,-1.352
17,2017-11-27 10:00:47,2017-12-27 10:00:47,2017-12-12 10:00:47,0.3706231883440231,6.427508196091424,2.7933771914429837,2.8881,1.8968,6.6817,False,-0.05
18,2017-12-12 10:00:47,2018-01-11 10:00:47,2018-01-11 10:00:47,0.3272128713877329,3.4449582245241555,1.574311012642302,2.6229,1.7961,6.2151,False,-0.584
19,2018-01-11 10:00:47,2018-02-10 10:00:47,2018-01-26 10:00:47,0.2622029873121027,2.1545695080145237,1.0191495955930712,2.8896,1.4966,5.8828,False,-1.25
20,2018-01-26 10:00:47,2018-02-25 10:00:47,2018-02-25 10:00:47,0.2919125647805133,0.9763197198396508,0.5656754268041684,2.0416,1.0475,4.1365,False,-1.409
21,2018-02-25 10:00:47,2018-03-27 10:00:47,2018-03-12 10:00:47,0.2520558516997165,1.4028052703983225,0.7123556191791589,1.4124,0.7611,2.9347,False,-0.92
22,2018-03-12 10:00:47,2018-04-11 10:00:47,2018-03-27 10:00:47,0.3070097166226374,0.6500581759100016,0.444229100337583,1.333,0.8079,2.9488,False,-1.1
23,2018-03-27 10:00:47,2018-04-26 10:00:47,2018-04-11 10:00:47,0.2765437299242556,0.004713446676536,0.1678116166251677,0.8631,0.4042,1.6715,False,-1.72
24,2018-04-11 10:00:47,2018-05-11 10:00:47,2018-05-11 10:00:47,0.2686435540874057,2.113375132413441,1.00653618541782,0.5818,0.2825,1.1467,False,1.503
25,2018-05-11 10:00:47,2018-06-10 10:00:47,2018-05-26 10:00:47,0.2298394979673589,5.159940507471887,2.2018799017691704,0.5793,0.2786,1.1364,True,5.824
